Essay,Score,University,Rater 1,Rater 2
"Large wind power generation turbine only has two or three blades. In that case, there is some of factors that account, that is physical strength and risk of damage. Cause of wind power generational turbine has large size, so the residual stress that occur on the rotor blades is bigger than the smaller size of turbine. That because, large wind power turbine has higher weight and the drag force that applied on the rotor blades are bigger. If more rotor blades added into large wind power generation turbine, so drag force that applied on the rotor blades are increase, then also increase the residual stress on the rotor blades.",2,UGM,1,2
large wind power generation carries great load on its shaft since larger diameter will increase the torque of wind turbine. considering the already high torque further investment on the shaft will be a waste since the material required needs to be stronger and more expensive,2,UGM,1,2
"with two or three rotor blades, it provides more strength and stability compared to the four or more rotor blades. In case of an accident, the two or three rotor blades are easier to maintained and repaired ",2,UGM,2,2
"the construction of large wind turbine usually have two or three rotor blades cause in large size wind turbine, there is some factor that can make the phsycal strength of the wind turbine is down. In the large size rotor blade, the drag force that occur in each blade is larger than the smaller blade. so if there is more than three blades, the stress and force that occur in wind turbine blades is getting bigger and can damaged the construction.",2,UGM,2,2
"with two or three blades, it may generate more efficient power generation. Large wind power generation turbines normally have two or three rotor blades, because it is more safety to the peoples at the turbine are. ",2,UGM,1,2
"Large turbines need more winds power to rotate especially because their scale is bigger than the smaller one, so that two or three rotor blades is enough for this turbine to rotate efficiently. More rotor blades can make the turbines difficult to rotate. ",2,UGM,1,2
"why the smaller one not have two or three rotor blades? it because the smaller one can't produce the high level of torque that the large turbines can produces, so, if the amount of blade is more then the larger turbine, the rpm can produce haigher than the large turbine, so the smaller rotor blade have more blades can produce the better torque than 1 or 3 blades",1,UGM,0,1
Because large turbines have a relative velocity between the rotor blades and the incident wind is determined by the rotation of the blades. The lift-to-drag ratio increases to its maximum as a function of the angle of attack: the angle between the chord line of the airfoil. If small turbines need a many blade.,1,UGM,1,1
"The more rotor blades there are in a wind power generation turbines, the starting speed or the acceleration of the blades are decrease. So for large turbines like in this case, the wind power generation turbines can use only two or three rotor blades so it can maximize the speed of the rotor blades to swing and generate more power.",1,UGM,1,1
"Because for making power generation turbines, that must did by continously where evever in this case rotor blades must keep rotating and finally mechanic's energy can conserve to electrical's energy.",1,UGM,0,1
"The blade can convert the wind force to any force such as rotational torque, with the geometry the blade is twisted make the blade can produce more force from any angle wind when contact the blade. In large power generator, it uses to produce large energy. because that, for produce large energy the power generator turbine can use more than one blade. Use two or three rotor blades can generate more wind force to tortional torque and produce more energy",1,UGM,1,1
because large turbines have very large winds to absorb kinetic energy in the rotor which functions to absorb the energy generated in the wind,1,UGM,0,1
"In the large wind power generation turbine, with large turbine normally have two or three rotor blades this for make the turbine more efficient in generate power. With more rotor blade the limit temperature for blade material can solve. With more rotors also increase the relative velocity and make the speed turbine more high.",1,UGM,1,1
"The theory said, to make big power generation needs to have higher rotational torsion velocity. So, it must re-bulid the wind turbine to bigger diameter or dimension rotor blade in the same parameter of quantity. So, to limit the compact dimension, there are made more construction of rotor blades to reach higher torsion velocity.",1,UGM,1,1
Large wind power generation turbines normally have two or three rotor blades,0,UGM,0,0
